Sted	Fosfor
Skaane	31.9
Skaane	21.5
Skaane	23.1
Skaane	29
Skaane	26.533
Skaane	28.875
Skaane	30.75
Skaane	43.2
Skaane	52.03
Skaane	33.1
Skaane	25.5
Skaane	10.517
Skaane	8.55
Skaane	6.972
Skaane	46
Skaane	34.1
Skaane	125
Skaane	71.6
Skaane	36.645
Skaane	24.9
Skaane	46.333
Skaane	12.3
Skaane	9.879
Skaane	35.095
Skaane	35
Skaane	3.867
Skaane	14.7
Skaane	87
Skaane	18.252
Skaane	37.5
Skaane	8
Skaane	28.2
Skaane	26.4
Skaane	81.4
Skaane	18.635
Skaane	85.167
Skaane	31.3
Skaane	29.733
Skaane	25.5
Skaane	25.75
Skaane	24
Skaane	28.8
Skaane	5.9
Skaane	14.367
Skaane	19.233
Skaane	23.45
Skaane	30
Skaane	22.833
Skaane	23
Skaane	21.215
Skaane	22.167
Skaane	33.9
Skaane	24.675
Skaane	107.617
Skaane	13.5
Skaane	21
Skaane	33
Skaane	23
Skaane	22
Skaane	20.8
Skaane	69.9
Skaane	13.435
Skaane	21.1
Skaane	17.4
Skaane	20.4
Skaane	120.45
Skaane	123.56
Skaane	66
Skaane	21.2
Skaane	31.3
Skaane	21.3
Skaane	33.7
Skaane	16.033
Skaane	43
Skaane	19.5
Skaane	27.76
Skaane	133.4
Skaane	10.752
Skaane	21.3
Skaane	15.7
Skaane	76.533
Skaane	27.1
Skaane	64.02
Skaane	21.5
Skaane	125.28
Skaane	116
Blekinge	23.083
Blekinge	12.1
Blekinge	9
Blekinge	8.25
Blekinge	15
Blekinge	10.2
Blekinge	25
Blekinge	23
Blekinge	6.7
Blekinge	7.8
Blekinge	7
Blekinge	20.06
Blekinge	10.3
Blekinge	7
Blekinge	24.6
Blekinge	18.2
Blekinge	9.433
Blekinge	11.9
Blekinge	6
Blekinge	11.31
Blekinge	25.4
Blekinge	13.2
Blekinge	34.2
Blekinge	10.4
Blekinge	17
Blekinge	11
Blekinge	6.8
Blekinge	6.8
Blekinge	11.5
Blekinge	9.1
Blekinge	19.1
Blekinge	36.2
Blekinge	10.2
Blekinge	13
Blekinge	14
Blekinge	24.1
Blekinge	8.47
Blekinge	10
Blekinge	8.9
Blekinge	13
Blekinge	29.9
Blekinge	11.1
Blekinge	10.35
Blekinge	24.2
Blekinge	31.8
Blekinge	4.76
Blekinge	6.7
Blekinge	6
Blekinge	10.65
Blekinge	10.9
Blekinge	31
Blekinge	14.5
Blekinge	21
Blekinge	11.5
Blekinge	16.59
Blekinge	10.664
Blekinge	15.7
Blekinge	20.1
Blekinge	19.8
Blekinge	24.6
Blekinge	46.6
Blekinge	7.5
Blekinge	7.245
Blekinge	19
Blekinge	13.4
Blekinge	8
Blekinge	6.6
Blekinge	8
Blekinge	13.4
Blekinge	8.49
Blekinge	22
Blekinge	10.1
Blekinge	23.083
Blekinge	12.1
Blekinge	9
Blekinge	8.294
Blekinge	15
Blekinge	10.2
Blekinge	25
Blekinge	23
Blekinge	6.7
Blekinge	7.8
Blekinge	7
Blekinge	20.06
Blekinge	10.3
Blekinge	7
Blekinge	24.6
Blekinge	18.2
Blekinge	11.058
Blekinge	11.9
Blekinge	6
Blekinge	11.31
Blekinge	25.4
Blekinge	13.2
Blekinge	34.2
Blekinge	10.4
Blekinge	17
Blekinge	11
Blekinge	6.8
Blekinge	6.8
Blekinge	11.5
Blekinge	9.1
Blekinge	19.1
Blekinge	36.2
Blekinge	10.2
Blekinge	13
Blekinge	14
Blekinge	24.1
Blekinge	8.47
Blekinge	10
Blekinge	8.9
Blekinge	13
Blekinge	29.9
Blekinge	11.1
Blekinge	12.3
Blekinge	24.2
Blekinge	31.8
Blekinge	4.76
Blekinge	6.7
Blekinge	6
Blekinge	10.65
Blekinge	10.9
Blekinge	31
Blekinge	14.5
Blekinge	21
Blekinge	11.5
Blekinge	16.59
Blekinge	10.664
Blekinge	15.7
Blekinge	20.1
Blekinge	19.8
Blekinge	24.6
